perseptif,1
persih,1
persis,2
personal,0
pesam,0
pesat,1
pesi,1
petang,1
petes,1
piak,0
piat,0
piawai,2
pileh,1
pilon,0
pinga,1
pingai,0
pingul,0
pintar,2
pipih,0
piramidal,0
pirang,0
pirektik,0
pisik,1
planologis,0
plastis,1
pleno,1
plong,1
plural,0
pluralistis,0
plus,1
plutonik,0
pokeng,0
pokta,1
poleng-poleng,2
poler,0
polipetal,0
polisepal,0
polisional,1
politeistis,0
populer,2
porak-peranda,0
portabel,1
positivistik,1
potensial,2
pragmatik,0
pragmatis,1
praktis,1
pralahir,0
pranikah,1
praremaja,0
prasaja,1
prawira,2
prayitna,1
predikatif,1
preliminer,0
prenatal,1
presentabel,1
presidensial,0
preskriptif,0
prestisius,2
preventif,1
prima,2
primer,1
primordial,1
prinsipiil,1
privat,0
pro forma,1
proaktif,2
prodeo,2
produktif,2
profan,0
profesional,2
profitabel,2
progresif,1
proksimal,0
prolat,0
prominen,0
promotif,1
pronominal,0
proporsional,1
prosedural,1
prosodis,0
prospektif,2
protektif,1
proteolitik,0
protokoler,0
protolitik,0
provisional,0
prudensial,1
psikis,1
psikofisiologis,0
psikologis,1
psikomotor,0
psikomotorik,0
psikoseksual,0
psikosomatik,0
psikoteknis,0
puas,2
pudat,0
pudur,0
puih,2
puitis,2
pukal,0
pukul rata,1
pulan,1
pulen,1
pulik,1
pulun,0
punar,2
pungguk,0
punjul,1
puristis,0
purnabakti,1
purnajual,0
purnapugar,0
purnasarjana,1
purnatugas,0
purnawaktu,0
purut,1
pusing,2
putih,1
rabani,2
rabung,1
racau,1
radial,0
radiotelegrafis,0
radu,0
rafi,2
ragam,1
ragawi,1
raharja,2
rahasia,0
rahayu,2
rahim,2
rajabiah,0
rajin,2
rakah,1
ramah,2
ramping,2
rancah,0
rancung,1
randat,1
ranggi,1
rani,1
rantas,0
rantus,0
ranyah,0
rapi,1
rasial,1
rasional,2
rasuli,2
rata-rata,2
ratah,0
rawak,0
raya,1
reaksioner,0
real,2
realistis,1
redaksional,1
redam,0
redam-redam,0
referensial,1
reflektif,1
reges,0
regional,0
reglementer,0
reguler,1
rehabilitatif,2
rejeh,0
relaks,2
relevan,1
reliabel,2
religius,2
remanen,0
rematoid,0
rembah,2
rembang,1
rembunai,0
renal,0
rendabel,1
renes,1
renik,1
repang,1
representatif,1
repui,0
reras,0
reseptif,2
resi,1
resik,1
resiprokal,0
resmi,2
responsif,2
restiformis,0
retrolingual,0
retromamal,0
retromandibuler,0
revolusioner,2
rewak,0
rewang,1
riah,1
riang,2
ribang,1
rida,2
rigai,0
riil,1
rimbun,1
rimpang,0
rimpung,0
rindang,1
rindu,2
ringan,1
ringkai,1
ringkas,2
ritmis,1
ritual,0
rodan,0
rohani,2
romantik,2
romantika,1
romantis,2
Romawi,0
rombik,0
rompes,0
roncet,1
ropak-rapik,0
royal,2
ruit,0
rukun,2
Rumi,0
rumpil,2
runcing,1
runjung,0
runtut,2
rupa-rupa,1
rupawan,2
rutup,0
ruyup,1
sabar,2
sabun,1
sabur,2
sadik,1
safa,1
safsaf,0
sah,1
sahih,2
sakelek,2
sakhi,1
sakral,2
sakramental,0
sakrokoksigeal,0
sakrolumbal,0
saksama,1
sakti,2
salihah,0
sambau,0
sampakan,0
sangih,0
sanglir,0
sangsi,0
sani,1
saniter,1
santai,1
santer,1
santing,2
santun,2
sapai,1
sapat,0
sareh,1
saring,1
sasa,2
sastrawi,0
satu-satunya,1
sebak,0
seberuntung-beruntungnya,2
secampin,1
secepat,1
sedaging,0
sedap,2
sediakala,1
sedimenter,0
sedondon,0
seelok,2
sega,0
segah,1
segar,2
segmental,0
sehat,2
seimbang,1
seismik,0
sejahtera,2
sejat,0
sejati,2
sejibun,1
sejuk,2
sekakmat,2
sekal,1
sekalian,1
sekotah,1
seksi,1
seksual,0
sektarian,0
sektoral,1
sekunder,1
seladang,2
selebu,0
selektif,1
selengkap,1
selidik,0
selingkit,2
selit,0
seluler,0
semacam,0
semampai,1
semampu,1
semanak,1
semantis,1
semarai,0
sembabat,2
sembada,2
semeleh,0
semenggah,1
semenjana,2
semerawang,1
semerbak,2
semesta,1
seminar,0
seminau,1
semipermanen,1
semok,1
sempurna,2
semringah,1
semudah,1
semujur,2
semujur-mujurnya,2
senang,2
senantan,2
sengar,0
senggang,1
sengsem,1
senior,2
sensasional,1
sensibel,0
sensoris,1
sentimental,1
sentosa,2
sentral,0
sentralistis,1
sentrifugal,0
sentripetal,0
senuh,0
senyap,1
senyawa,0
sepadan (dengan),1
sepakat,0
sepandai-pandai,2
sepasang,1
sepele,1
sepenuh,1
sepepak,1
seperuah,0
sepoi,1
sepuh,2
sepusat,0
seram,2
serasi,2
serbaada,2
serbabaru,1
serbabisa,2
serbadua,0
serbaemas,1
serbaguna,2
serbaindah,1
serbakeemasan,1
serbamacam,1
serbaneka,1
serbaputih,1
serbarumah,2
serbasama,0
serbausaha,1
serebral,0
serebrospinal,0
seremonial,1
serempak,1
serenjang,1
sergam,2
serial,0
seroma (dengan),1
serondok,0
seronok,1
seroyongan,0
serpih,0
seruah,0
serudi,0
serui,0
